Name;Action;Industry;Company;Текущее имя
Bonduelle;Scaled back operation in Russia;Consumer Staples;France;None
Boston Scientific;suspend all new investment and non-essential activity;Health Care;United States;None
Brenntag;suspend exports to Russia, no information about local operations;Materials;Germany;None
Bucher Industries;"not specified business activities in Russia were reduced ""substantially"" ";Industrials;Switzerland ;None
Bureau Veritas;scaled back ;Industrials;France;None
Carl Zeiss;Reduced business;Health Care;Germany;None
Carrier;not pursue new business opportunities but continue fulfilling existing contracts ;Industrials;United States;None
Cersanit;Put up its Russian business for sale, but no update on progress;Consumer Discretionary;Poland;None
CHR Hansen;suspend operations outside of staple food products;Materials;Denmark;None
Citadele Bank;still allows transactions to Russia but introduced more thorough checks;Financials;Latvia;None
Coca-Cola;suspend certain operations in Russia but continue to operate some chains (Costa Coffee);Consumer Staples;United States;Добрый Cola
Coinbase;block certain illicit Russian accounts but not all;Financials;United States;None
Confor Step;Stopped producing or shipping to Russia;Consumer Discretionary;Portugal;None
Continental;resumed local production after having previously suspended Russian factory;Consumer Discretionary;Germany;None
Corning;suspend almost all sales in Russia except minor life-saving products;Information Technology;United States;None
Credit Suisse;stop new business in Russia while meaningfully cutting exposure by 56%;Financials;Switzerland ;None
DB Schenker;suspend direct shipments to Russia, continue Europe to Kazakhstan and Russia to Kazakhstan routes;Industrials;Germany;None
Deere;suspend shipments into Russia only;Industrials;United States;None
Dentons;Still working with separate entity;Industrials;Switzerland ;None
Discord;suspend renewal of paid and premium products and services for Russian clients, free services still available;Communication Services;United States;None
Dover Corporation;ramping down sales activity and focusing on liquidating working capital;Industrials;United States;None
Dow;Suspended all purchases of feedstocks and energy and significantly reduced operations;Materials;United States;None
Duolingo;make services free and stop gaining revenue;Information Technology;United States;None
E.ON;stop buying new Russian gas;Utilities;Germany;None
Eaton;stop shipments to Russia, maintains services;Industrials;United States;None
Eimskip;reduced operation in Russia;Industrials;Iceland;None
Elanco;scale back to critical products to ensure food security;Health Care;United States;None
Epic Games;stop in-game commerce for Russia;Consumer Discretionary;United States;None
ESAB;Transition out of operations in Russia;Industrials;Sweden;None
Eutelsat;Ended involvement in the broadcast of three channels;Communication Services;France;None
Ferrero;suspend non-essential business activity;Consumer Staples;Italy;None
Fieldfisher;terminate certain Russian relationships;Industrials;United Kingdom ;None
FIGMA;continue current business &amp, stop all new sales efforts in Russia;Information Technology;United States;None
Fischer Sports;Sales activities in Russia have been severely restricted and all investments stopped.  ;Consumer Discretionary;Austria;None
FL Smidth;Winding down all business ;Industrials;Denmark;None
Fortive;suspend most operations except medical essentials;Industrials;United States;None
GEA Group;suspend new investments ;Industrials;Germany;None
General Electric (GE);stopped sales in Russia and Belarus except medical equipment and support for electric power generation and transmission ;Industrials;United States;None
General Mills;suspended sales of global brands in its JV;Consumer Staples;United States;None
Geodis;suspend services in Russia &amp, reduce shipments to and from Russia significantly;Industrials;France;None
Georg Fischer;temporary suspension of deliveries to Russia;Industrials;Switzerland ;None
Glencore;Suspend only new contracts f commodities of Russian origin;Materials;Switzerland ;None
Goldman Sachs;wind down business in Russia but buy Russian debt;Financials;United States;None
Groupe BPCE;suspend many transactions and cease new financing;Financials;France;None
Hellenic Bottling Company;vaguely suspend some operations in Russia;Consumer Staples;Greece;None
HILTI;limiting sales and workforce in Russia;Industrials;Liechtenstein;None
Hostinger;stop accepting payments for new purchases and renewals;Information Technology;Lithuania;None
Idemitsu Kosan;stop coal imports, lubricants business unchanged;Energy;Japan;None
Indesit;"suspend production due to ""full warehouses""";Consumer Discretionary;Italy;None
Ingersoll Rand;scale back to only health critical services;Industrials;United States;None
Ingka;stop all exports, IKEA production, keep open retail centers (Mega);Consumer Discretionary;Netherlands;None
Inspire Brands (Dunkin' Donuts, Baskin Robins);halt corporate support for franchisees;Consumer Discretionary;United States;None
Intertrust;Not accepting new Russian clients &amp, started process of exiting all Russian Clients;Financials;Netherlands;None
IPG Photonics;suspend new investments and reduce manufacturing in Russia;Information Technology;United States;None
Iskratel;paused some business with Russia;Communication Services;Slovenia;None
J&amp,T Finance Group;curb its activities in Russia;Financials;Slovakia;None
JPMorgan;wind down business in Russia but buy Russian debt;Financials;United States;None
Julius Baer;wind down Russian office, suspend new business in Russia, reduce current exposure, retain current Russian clients;Financials;Switzerland ;None
Kellogg;suspend new investments except essentials (minor);Consumer Staples;United States;None
Keywords Studios;Cut back business in Russia and relocated staff;Consumer Discretionary;Ireland;None
Knight Frank;scaling back substantive operations in Russia;Real Estate;United Kingdom ;None
Kotak Mahindra;Paused transaction through cards in Russia;Financials;India;None
Kuehne + Nagel AG;suspend all shipments to Russia (except Pharma, healthcare and humanitarian supplies);Industrials;Switzerland ;None
Legal &amp, General;reduce exposure;Financials;United Kingdom ;None
Linde;divest certain industrial assets and suspend new development/investments;Materials;Germany;None
Lotos;stopped purchasing Russian spot oil;Energy;Poland;None
Loyalty Ventures;scale back most services and stop new sales;Consumer Discretionary;United States;None
Luxottica;restrict Russian operations to medical services;Consumer Discretionary;Italy;None
Mahle;halt new business &amp, scale back shipments to Russia significantly;Industrials;Germany;None
Marubeni;scaling down but still in numerous projects across Russia;Industrials;Japan;None
Maruti Suzuki;Suspend car exports;Consumer Discretionary;Japan;None
Mashreqbank;halt loans to Russia;Financials;United Arab Emirates;None
Microsoft;suspend new sales in Russia but continue existing access;Information Technology;United States;None
Miele;suspend operations except exempt healthcare;Consumer Discretionary;Germany;None
Milliken &amp, Co;still operating in Russia;Materials;United States;None
Miro;close office in Moscow &amp, pause new sales;Information Technology;Netherlands;None
Mitsubishi UFJ Financial Group;Japanese expats working for MUFG Bank (Eurasia) have moved out of Russia to work outside of the country on a temporary basis;Financials;Japan;None
MOL Group | MOL Plc.;Suspended activities in Russia;Energy;Hungary ;None
Moody's;suspend commercial operations within Russia;Financials;United States;None
Nalco Water (Ecolab);suspended services except services critical to health ;Industrials;United States;None
Natura;suspend some subsidiary operations but not all;Consumer Staples;United States;None
Nemetschek Group;suspend any new business in Russia &amp, all business with sanctioned entities;Information Technology;Germany;None
NielsenIQ;suspend consulting service but not core business;Industrials;United States;None
Nordea Bank;stop processing payments to and from Russia &amp, Belarus;Financials;Finland;None
Norsk Hydro; reduced deliveries and supplies to the contractual minimum for some commitments, and is suspending deliveries and supply in several contracts;Materials;Norway;None
nVent;Suspended new business in Russia;Industrials;United Kingdom;None
Okta;halt new sales to Russia but continue supporting current customers;Information Technology;United States;None
Oriflame Cosmetics;suspend online sales to end consumers but not others;Consumer Staples;Switzerland ;None
OTP Bank;wind down corporate lending;Financials;Hungary ;None
Paccar;stop direct sales in Russia but continue selling through third-parties;Industrials;United States;None
Paul Wurth;stopped new business, closed sites, and scaled back services;Industrials;Luxembourg;None
PepsiCo;suspend operations in Russia except essentials;Consumer Staples;United States;None
Phibro Animal Health Corp;curtail some operations (i.e. ethanol) and substantial sales hit ;Health Care;United States;None
Philip Morris;explore strategic alternatives, while stop new investments including $150MM, paused marketing, canceled product launches;Consumer Staples;United States;None
Pirelli;suspend new investments in Russia and scale back production;Consumer Discretionary;Italy;None
PKN Orlen SA;stopped maritime oil shipments, diversifying supply;Energy;Poland;None
PPG;scale back majority of operations and suspend new investments in Russia ;Materials;United States;None
Rosenbauer;no new business, continue servicing fire engine pumps in Russian JV;Industrials;Austria;None
Royal DSM; stopped all operations in Russia other than basic food/feed/essential health activities;Materials;Netherlands;None
Sabre;suspend certain partnerships with Aeroflot ;Information Technology;United States;None
Saint-Gobain;suspend exports and imports but not local operations;Industrials;France;None
SAP;stop all sales to Russia and shut down cloud operations but some carveouts;Information Technology;Germany;None
Schaeffler;stop deliveries to Russia, continue manufacturing in Russia ;Industrials;Germany;None
Scopely;suspend marketing and commerce;Communication Services;United States;None
Shutterstock;not accept new contributors from Russia, continue current businesses &amp, still offer services to Russia;Communication Services;United States;None
SHV;suspend new investments, new projects, new exports, continue to work with  suppliers and customers in Russia;Energy;Netherlands;None
Signet Jewelers; suspend business interaction with Russian-owned entities, no information about other Russian customers ;Consumer Discretionary;United States;None
Sika;significantly scale back business in Russia, stop production, stop investments ;Industrials;Switzerland ;None
Sinopec;suspend $500MM new investment and significant operations and partnerships ;Energy;China;None
Skadden;suspend certain operations in Russia but not all;Industrials;United States;None
Skandinaviska Enskilda Banken;scaling down operations in Russia;Financials;Sweden;None
Sketchers;suspended shipments to Russia but online sales continue;Consumer Discretionary;United States;None
Skoda;Halted production and stopped exports. Dealers continue to sell cars. ;Consumer Discretionary;Czech Republic;None
Tennant;substantially suspending sales to Russia ;Industrials;United States;None
Terex Corporation;stop accepting new orders from continuing dealer network in Russia ;Industrials;United States;None
ThyssenKrupp;Stopped new business and investments. Closed plant;Materials;Germany;None
Tikkurila;reduce Russian operations, stop sales to aerospace, consider exiting Russia;Materials;Finland;None
Tokio Marine;suspend new contracts and repatriate employees;Financials;Japan;None
TomTom;turn off live traffic for Russia, cut ties with several Russian customers, some customers are still under review;Information Technology;Netherlands;None
Trafigura;freeze investments and stop purchasing crude oil from Rosneft, maintain shareholding in Russia;Energy;Singapore;None
Triglav Group;not renewing or entering into new business;Financials;Slovenia;None
Tungsram;stopped producing products and projects ;Utilities;Hungary ;None
U.S. Polo Assn.;stopped all shipments of goods into Russia and shut down all branded digital operations but phased approach to closing physical stores;Consumer Discretionary;United States;None
UBS;suspend new business in Russia and reduce current exposure by helping clients unwind Russia securities, reducing Russian client services;Financials;Switzerland ;None
Uniper SE;suspend new Russian gas purchases/divest Unipro;Utilities;Germany;None
Valentino;suspend online sales, no information about on-site sales ;Consumer Discretionary;Italy;None
Westinghouse Air Brake Technologies Corp;stopped sales to Russia;Industrials;United States;None
Whirlpool;limiting production in Russia;Consumer Discretionary;United States;None
Wilo;Stop shipments to and from Russia, no comment about production in Russia;Industrials;Germany;None
Wolters Kluwer;Scale back to just health products in Russia;Financials;Netherlands;None
Yum Brands;Suspend operations of company-owned restaurants and new investments in Russia;Consumer Discretionary;United States;None
ZF Friedrichshafen;stop all deliveries to Russia, maintain JVs;Consumer Discretionary;Germany;None
Zoetis;suspend investments &amp, focus on supply of medicines and vaccines;Health Care;United States;None
 	Japan Credit Bureau (JCB);suspend operations in Russia;Financials;Japan;None
3M;suspend operations in Russia;Industrials;United States;None
Abrdn;suspend investments in Russia and reduce exposure;Financials;United Kingdom ;None
ACCA;suspend operations in Russia and Belarus;Industrials;United Kingdom ;None
Acer;suspend its business in Russia;Information Technology;Taiwan;None
Acne Studios;put all Russian activities on hold;Consumer Discretionary;Sweden;None
Adamed;halt sales and production in Russia;Health Care;Poland;None
ADEO | Leroy Merlin;Will transfer control of Leroy Merlin ;Consumer Discretionary;France;None
ADP;suspend sales/services to Russia;Information Technology;United States;None
AICPA;suspend sale and delivery of services indefinitely;Industrials;United States;None
Air Astana;suspend flights to Russia;Industrials;Kazakhstan;None
Air France;halt flight to and from Russia;Industrials;France;None
Air Malta;suspend all flights to and from Russia;Industrials;Malta;None
Airbnb;block bookings and block accepting guests in Russia;Consumer Discretionary;United States;None
Akamai;suspend sales in Russia;Information Technology;United States;None
Akin Gump;suspend operations in Russia;Industrials;United States;None
AL-KO Vehicle Technology;suspend deliveries to Russia and Belarus;Consumer Discretionary;Germany;None
Alaska Airlines;temporarily suspend partnership with Russian airline;Industrials;United States;None
Alimentation Couche-Tard;suspend operations;Consumer Staples;Canada;None
Alstom;suspend shipments to Russia;Industrials;France;None
AM Best;suspend all commercial activities to Russian clients;Information Technology;United States;None
Amazon;suspend operations in Russia;Consumer Discretionary;United States;None
Ambarella;suspend shipments into Russia ;Information Technology;United States;None
AMD;suspend all sales to Russia;Information Technology;United States;None
Amdocs;stop all new sales of product and services in Russia;Information Technology;United States;None
Amer Sports;Intention to discontinue business in Russia;Consumer Discretionary;Finland;None
American Express;suspend operations in Russia;Financials;United States;None
Amica;suspended Russian exports;Consumer Discretionary;Poland;None
Analog Devices;suspend sales to Russia according to sanctions;Information Technology;United States;None
Ansys;suspend all sales and business activity;Information Technology;United States;None
Aon PLC;suspend operations in Russia;Financials;United Kingdom ;None
Apple;suspend all official site sales, turn off select apps and services;Information Technology;United States;None
Arla;suspends all operations;Consumer Staples;Denmark;None
ARM;suspend shipments according to sanctions;Information Technology;United Kingdom ;None
Asian Infrastructure Investment Bank;curtail Russian access to capital markets;Financials;China;None
Asos;suspend all shipments to Russia;Consumer Discretionary;United Kingdom ;None
Association of International Certified Professional Accountants;indefinite suspension of services within Russia;Industrials;United States;None
Aston Martin;suspend all shipments to Russia;Consumer Discretionary;United Kingdom ;None
Asus;suspend shipments to Russia ;Information Technology;Taiwan;None
Atlas Copco;suspend deliveries in Russia;Industrials;Sweden;None
Atlassian;Suspended software sales to Russia;Information Technology;Australia;None
Audi;suspend operations at Kaluga assembly plant;Consumer Discretionary;Germany;None
Australia Post;Suspend all business with Russia;Communication Services;Australia;None
Austrian Airlines;Cancel Russian flights until July;Industrials;Austria;None
Authentic Brands Group - Reebok;successfully completed suspension of all operations;Consumer Discretionary;United States;None
Autodesk;suspend operations in Russia;Information Technology;United States;None
Avast;suspend all operations in Russia;Information Technology;Czech Republic;None
AXA;stop underwriting new insurance &amp, stop renewals;Financials;France;None
AXA Investments Managers;pause investments &amp, prohibit new subscriptions;Financials;France;None
Axis Communication;Suspend all product shipments to Russia;Consumer Discretionary;Sweden;None
Azerbaijan Airlines;suspend flights to Russia;Industrials;Azerbaijan;None
B Lab;suspend Russian companies from obtaining certifications;NGO;United States;None
Badminton World Federation;cancel all tournaments;NGO;Malaysia;None
Bain;suspend consulting for all Russian businesses;Industrials;United States;None
Bang &amp, Olufsen;suspended deliveries and sales to Russia;Information Technology;Denmark;None
Bank of China;curtail Russian access to capital markets;Financials;China;None
Bentley;suspend all shipments to Russia;Consumer Discretionary;United States;None
Big Fish Games;suspend downloadable game business in Russia;Communication Services;United States;None
Bitdefender;suspend all sales to Russia;Information Technology;Romania;None
BlackBerry;cease all activities in Russia;Information Technology;Canada;None
BMC;suspend all business with Russia &amp, Belarus;Information Technology;United States;None
BMW;suspend exports to and production in Russia;Consumer Discretionary;Germany;None
BNP Paribas;suspend new business in Russia/curtail financing ;Financials;France;None
Boeing;suspend operations in Russia/titanium purchases;Industrials;United States;None
Bombardier;restrict Russian business;Industrials;Canada;None
Boohoo Group;suspend all shipments to Russia;Consumer Discretionary;United Kingdom ;None
Boosteroid Cloud Gaming;suspend services to Russia;Information Technology;United Arab Emirates;None
Boryszew;suspended operations in Russia;Materials;Poland;None
Brav;suspend sales and operations in Russia;Consumer Discretionary;Norway;None
Bridgestone Tire;suspend manufacturing in Russia and shipments into;Consumer Discretionary;Japan;None
Brinks;Suspended business in Russia;Consumer Discretionary;United States;None
British Airways;cancel Russian flights;Industrials;United Kingdom ;None
Brown-Forman;suspend commercial operations in Russia;Consumer Staples;United States;None
Brunico Communications;Put all business with Russia on hold;Communication Services;Canada;None
BUDVAR Centrum Sp. z.o.o.;Suspended Activity;Industrials;Poland;None
Budweiser Budvar;suspends production and supply of beer;Consumer Staples;Czech Republic;None
Bulgaria Air;suspend flights to Russia;Industrials;Bulgaria;None
Bulgarian Postbank;stop operations in Russian ruble;Financials;Bulgaria;None
bunq.com;suspend SWIFT transfers to sanctioned banks;Financials;Netherlands;None
Burberry;suspend all shipments to Russia;Consumer Discretionary;United Kingdom ;None
Burger King (Restaurant Brands);halt corporate support for franchises;Consumer Staples;United States;None
Buta Airways;suspend flights to Russia;Industrials;Azerbaijan;None
Callaway Golf ;Suspended business in Russia;Consumer Discretionary;United States;None
Canada Goose;suspend all shipments to Russia;Consumer Discretionary;Canada;None
Canadian Tire;close Russia stores;Consumer Discretionary;Canada;None
Canon;suspend deliveries in Russia;Information Technology;Japan;None
Canonical;suspend support &amp, professional services;Information Technology;United Kingdom ;None
Capgemini;stop services to Russia;Information Technology;France;None
Cargolux;suspend all shipments into and through Russia;Industrials;Luxembourg;None
Caterpillar;suspend all operations ;Industrials;United States;None
CBRE;discontinue Russian business;Real Estate;United States;None
Ceratizit;Stop all deliveries to Russia and Belarus. Still distributes through distributors;Industrials;Luxembourg;None
Chemours;Suspended business in Russia;Materials;United States;None
Chevron;Pausing all transactions and sales of refining products, lubricants, and chemicals ;Energy;United States;None
Chipperfield;suspend operations in Russia;Industrials;United Kingdom ;None
Chopard;Suspend all Russian diamond purchases;Consumer Discretionary;Switzerland;None
Cie Automotives;temporarily shut down aluminum plant;Consumer Discretionary;Spain;None
Ciena;suspend business operations in Russia;Communication Services;United States;None
Citi;Ending nearly all its institutional banking services in Russia;Financials;United States;None
Citrix;suspend all sales to Russia;Information Technology;United States;None
Cleary Gottlieb;suspend Russian operations;Industrials;United States;None
Clorox;suspend business activity in Russia;Consumer Staples;United States;None
Clutch;suspend all business activity;Industrials;United States;None
CME Group;suspend acceptance of certain Russian commodities;Financials;United States;None
CNH Industrial;suspend sales to Russia;Industrials;United Kingdom ;None
Cogent Communications;cut all internet to Russia;Communication Services;United States;None
Columbia Sportswear;pause taking any new orders from Russian distributor &amp, remove future sales;Consumer Discretionary;United States;None
Commerzbank;suspend operations in Russia;Financials;Germany;None
Conde Nast;suspend all publishing operations;Communication Services;United States;None
Conformis;suspend distribution operations in Russia;Health Care;United States;None
Costco;stopped purchases from Russia;Consumer Discretionary;United States;None
Coupa;suspend operations in Russia;Information Technology;United States;None
Coursera;platform available, refrain from financial benefits from the region, suspend some content;Consumer Discretionary;United States;None
Credit Agricole;suspend all services in Russia;Financials;France;None
Crocs;suspend D2C business;Consumer Discretionary;United States;None
Curve;no longer allow Russian payment cards &amp, transaction in RUB;Financials;United Kingdom ;None
Cyprus Airways;suspend flights to Russia;Industrials;Cyprus;None
d&amp,b audiotechnik;suspend all shipments to Russia;Consumer Discretionary;Germany;None
DACHSER;End all transports to Russia;Industrials;Germany;None
DAF;Suspend business in Russia;Consumer Discretionary;Netherlands;None
Daimler Truck;freeze activities in Russia;Consumer Discretionary;Germany;None
Damen;stop supplying ships to Russia, halt new contracts;Industrials;Netherlands;None
Danaher;suspended shipments to Russia except for humanitarian medical products;Health Care;United States;None
Danone;Announced Transfer ;Consumer Staples;France;None
Danske Bank;suspend operations in Russia;Financials;Denmark;None
Dassault Aviation;suspend all shipments to Russia;Industrials;France;None
Dassault Systèmes;suspend business operations in Russia;Information Technology;France;None
Debevoise &amp, Plimpton;Wind down Russia operations, local partners and counsel open Russian business;Industrials;United States;None
Decathlon;suspend the operation of its stores in Russia;Consumer Discretionary;France;None
Deckers;suspend business in Russia;Consumer Discretionary;United States;None
Demant;suspend all trade with Russia;Health Care;Denmark;None
Denso;suspend all shipments into Russia ;Consumer Discretionary;Japan;None
Depositphotos;stop all sales and services to Russia;Consumer Discretionary;Ukraine;None
DHL;suspend all shipments to Russia;Industrials;Germany;None
Diadora;suspend contracts with Russian commercial partners ;Consumer Discretionary;Italy;None
Diageo;suspend all shipments to Russia;Consumer Staples;United Kingdom ;None
Diebold Nixdorf;suspend shipments and sales of any kind into Russia.;Information Technology;United States;None
DirecTV;cut Kremlin backed TV networks;Communication Services;United States;None
Discover;suspend efforts to establish Russian presence;Communication Services;United States;None
Discovery;Suspend Russian access;Communication Services;United States;None
Disney;pause new content releases;Communication Services;United States;None
DJI;stop selling drones in Russia;Information Technology;China;None
DKV Mobility;stop all activity for Russian domestic business;Information Technology;Germany;None
Dreamstime;restrict download plans and payments for Russian customers;Communication Services;United States;None
DSV A/S;suspend all shipments to Russia;Industrials;Denmark;None
DuPont;suspend operations in Russia and Belarus;Materials;United States;None
Dyson;Suspend business in Russia;Consumer Discretionary;Singapore;None
eBay;suspend all shipments to Russia;Consumer Discretionary;United States;None
ECFMG;Suspend Russian certifications;Industrials;United States;None
EDF;suspend Moscow office ;Utilities;France;None
eDreams ODIGEO;cease all operations involving Russia;Consumer Discretionary;Spain;None
Edrington;suspend all shipments to Russia;Consumer Staples;United Kingdom ;None
Egon Zehnder;stop operations in Russia;Industrials;United States;None
Electrolux;suspending all shipments into Russia;Consumer Discretionary;Sweden;None
Elsevier;Winding down all operations in Russia;Communication Services;Netherlands;None
Embraer;suspend supplying parts and services to Russia;Industrials;Brazil;None
Epiroc;pause all deliveries to Russia and no operations domestically;Consumer Staples;Sweden;None
Eppendorf SE;suspend exports to Russia, keep rep office open;Health Care;Germany;None
Epson;suspend exports to Russia &amp, Belarus;Consumer Discretionary;Japan;None
Equinix;suspend Russian partnerships and customers;Real Estate;United States;None
Ericsson;suspend all shipments to Russia;Information Technology;Sweden;None
ESET;suspend all sales to Russia;Information Technology;Slovakia;None
Esri;Suspending all sales of products and services. ;Information Technology;United Kingdom ;None
Estee Lauder;suspend operations in Russia;Consumer Staples;United States;None
Etex;Suspended business in Russia;Communication Services;Belgium;None
Eurasian Resources Group;Suspend substantively all Russian commodities purchases;Materials;Luxembourg;None
European University Association;cease cooperation with governmental agencies in Russia;NGO;Belgium;None
Exiger;halting all activity and due diligence in Russia;Industrials;United States;None
Exor;holding company's assets are suspending operations;Financials;Netherlands;None
Famur;suspend Russian exports;Industrials;Poland;None
FANUC;Totally suspend all shipments, services and maintenance in Russia;Industrials;Japan;None
Farfetch;suspend all shipments to Russia;Consumer Discretionary;United Kingdom ;None
Fédération Internationale de Motocyclisme;ban Russian, Belarusian licence holders;NGO;Switzerland;None
FedEx;suspend all shipments to Russia;Industrials;United States;None
Ferragamo;suspend all shipments to Russia;Consumer Discretionary;Italy;None
Ferrari;suspend sales in Russia;Consumer Discretionary;Italy;None
FIBA;ban Russian teams and officials from participating in basketball events;NGO;Switzerland ;None
Fidelity;Suspend trading of Russian securities;Financials;United States;None
FIFA;ban Russian athletes from competing;Industrials;Switzerland ;None
Finnlines;suspend all traffic to Russia;Industrials;Finland;None
Fitch;suspend operations in Russia;Financials;United States;None
Fiverr;suspend business;Consumer Discretionary;Israel;None
Forest Stewardship Council (FSC);suspend all trading certificates in Russia &amp, Belarus and block all controlled wood sourcing from the two countries;NGO;Germany;None
Fortinet;suspend operations in Russia;Information Technology;United States;None
Foster + Partners;stop work on projects in Russia;Industrials;United Kingdom ;None
Fujitsu;cease orders and shipments to Russia;Information Technology;Japan;None
Ganni;freeze all trade with Russia;Consumer Discretionary;Denmark;None
Gap Inc;stopped shipments to franchisees in Russia;Consumer Discretionary;United States;None
Gasum ;Suspend all purchases from Russia;Energy;Finland;None
Generac;Suspend all business in Russia;Industrials;United States;None
Gestamp;stopped production;Consumer Discretionary;Spain;None
GetYourGuide;suspend all Russian operations;Consumer Discretionary;Switzerland ;None
Goodyear;suspend shipments of tires to Russia;Consumer Discretionary;United States;None
Grainpro;suspend all operations in Russia;Materials;United States;None
Grammarly;block users located in Russia and Belarus from using products or services;Information Technology;United States;None
Graphisoft;suspended new activities, disabled access to our commercial services in Russia;Information Technology;Hungary ;None
Grupa Azoty;stopped exporting its products to Russia or Belarus;Materials;Poland;None
Grupo Antolín;suspend operations in Russia ;Consumer Discretionary;Spain;None
Grupo Bimbo;Suspended distribution of the Bimbo Brand at retail, but left Moscow Bimbo QSR plant operating for food service products;Consumer Staples;Mexico;None
Hannover Re;halt underwriting business;Financials;Germany;None
Hapag Lloyd;suspend all shipments to Russia;Industrials;Germany;None
HARIBO;suspend production to Russia;Consumer Staples;Germany;None
Harley-Davidson;suspending all business in Russia;Consumer Discretionary;United States;None
Hasbro;pause toy shipments of Russia;Consumer Discretionary;United States;None
Heraeus;stop goods and money flows to Russia;Industrials;Germany;None
Herbalife;suspend sales and shipments to Russia;Consumer Staples;United States;None
Hermes;suspend all operations in Russia;Consumer Discretionary;France;None
Herzog &amp, de Meuron;suspend work on Russian projects;Industrials;Switzerland ;None
Hexagon;freeze all business activities;Information Technology;Sweden;None
HHLA;suspend entry of Russian shipments at owned ports;Financials;Germany;None
Hindalco;suspend operations;Materials;India;None
Hitachi Construction;suspend all shipments to Russia;Industrials;Japan;None
HMM;suspend all shipments to Russia;Industrials;South Korea;None
Honda;suspend all shipments to Russia;Consumer Discretionary;Japan;None
Honey Group;suspend sales to Russia;Consumer Staples;Finland;None
Hugo Boss;temporarily close stores and e-commerce sites;Consumer Discretionary;Germany;None
Hunkemoller;suspend operations of on-site and online stores;Consumer Discretionary;Netherlands;None
Husqvarna;stop exports to Russia &amp, halt investments;Consumer Discretionary;Sweden;None
Hyundai;suspend manufacturing in Russia;Consumer Discretionary;South Korea;None
Iberia ;canceling flights to Russia;Industrials;Spain;None
ICBC;curtail Russian access to capital markets;Financials;China;None
Icecat;suspends activities for the Russian market;Industrials;Netherlands;None
iHerb;Suspend all Russian sales;Consumer Discretionary;United States;None
Illinois Tool Works;suspension of sales to Russia;Industrials;United States;None
Indeed;suspend service in Russia;Information Technology;United States;None
Institute of Internal Auditors;suspend business in Russia;Industrials;United States;None
Intel;suspend sales to Russia;Information Technology;United States;None
Interactive Advertising Bureau;suspend licensing in Russia and Belarus;Industrials;United States;None
Intercomm Foods;Stopping shipments to Russia;Consumer Staples;Greece;None
International Canoe Federation;suspend Russian athletes &amp, relocate Russian events;NGO;Switzerland ;None
International Federation of Sport Climbing;suspend Russian teams from participation, suspend Russian events;NGO;Italy;None
International Tennis Federation;suspend Russian partnerships;NGO;United Kingdom ;None
Intertek;suspend operations;Industrials;United States;None
Intuit;suspend customer accounts ;Information Technology;United States;None
Isuzu;Suspend business in Russia;Consumer Discretionary;Japan;None
Jablotron;halts sales and blocks data services to products assembled in  Russia;Consumer Discretionary;Czech Republic;None
JCB;pause business in Russia;Industrials;United Kingdom ;None
Johnson Controls;suspend operations in Russia;Industrials;Ireland;None
Julipedra;suspended exports to Russia;Materials;Portugal;None
Jungheinrich;keep Russia office, stop exports to Russia;Industrials;Germany;None
Juniper Networks;suspend sales in Russia;Information Technology;United States;None
Kärcher;suspend exports to Russia &amp, halt investments;Consumer Discretionary;Germany;None
KBC Group;suspend transactions with certain Russian banks;Financials;Belgium;None
Kepenou Mills;stop wheat orders from Russia;Consumer Staples;Greece;None
Kering;close all stores in Russia;Consumer Discretionary;France;None
Kerry Group;suspending operations;Consumer Staples;Ireland;None
Kesko;stop sales to Russia and imports from Russia;Consumer Staples;Finland;None
KGHM;suspended Russian contracts, subsidiary ZANAM Vostok in Russia;Materials;Poland;None
Kingston;suspend shipments to Russia;Information Technology;United States;None
KLM;cancel flights to and from Russia;Industrials;Netherlands;None
Kodak Alaris;suspend all business activity into Russia &amp, Belarus;Information Technology;United Kingdom ;None
Komatsu;suspend all shipments to Russia;Industrials;Japan;None
KONE;suspend deliveries to Russia &amp, stop new Russian orders;Industrials;Finland;None
Konecranes;stop all orders from Russia;Industrials;Finland;None
Konica Minolta;new shipments suspended;Consumer Discretionary;Japan;None
Körber;suspend new business with Russia;Industrials;Germany;None
Korean Air Lines;no flying over Russian airspace, Russian flights cancelled;Industrials;South Korea;None
Korn Ferry;suspend business in Russia;Industrials;United States;None
Krombacher;stopped exports to Russia;Consumer Staples;Germany;None
Kronospan;Separated out all business activities in Russia ;Materials;Austria;None
Kubota;cancel production of equipment orders from Russian;Industrials;Japan;None
KUKA;suspend all business with Russia;Industrials;Germany;None
Kurokesu;suspend shipments to Russia;Consumer Discretionary;Lithuania;None
Kyocera;suspend deliveries of all devices to Russia;Information Technology;Japan;None
L'Oreal;suspend operations in Russia;Consumer Discretionary;France;None
La Lorraine;halt its 50mn euro investment in Moscow;Consumer Staples;Belgium;None
Lanxess;suspend business activities with Russia ;Materials;Germany;None
LCBO;suspend Russian-produced products;Consumer Staples;Canada;None
Lego;suspend all shipments to Russia;Consumer Discretionary;Denmark;Мир кубиков
Leica Camera AG;suspend operations in Russia;Information Technology;Germany;None
Leonardo;pause all JVs in Russia, helicopter production;Industrials;Italy;None
Les Ballets de Monte-Carlo;suspend performance rights for his ballet;Consumer Discretionary;Monaco;None
